reino,nombre científico,Nombe Completo,vernacular_name,Estatus_RD
Animalia,Aratinga chloroptera,Aratinga chloroptera,Perico,ENDEMICA (E)                  
Animalia,Aratinga nana,Aratinga nana,Perico amargo,INTRODUCIDA (I)               
Animalia,Brotogeris versicolurus,Brotogeris versicolurus,Perico alas de canario,INTRODUCIDA (I)               
Animalia,Amazona ventralis,Amazona ventralis,Cotorra,ENDEMICA (E)                  
Animalia,Coccyzus minor,Coccyzus minor,Pjaro bobo menor,RESIDENTE PERMANENTE (RP)     
Animalia,Coccyzus americanus,Coccyzus americanus,Bobo pico amarillo,MIGRATORIO NIDIFICANTE (MN)   
Animalia,Coccyzus erythropthalmus,Coccyzus erythropthalmus,Pajaro bobo pico negro,MIGRATORIA (M)                
Animalia,Crotophaga ani,Crotophaga ani,Judo,RESIDENTE PERMANENTE (RP)     
Animalia,Tyto alba,Tyto alba,Lechuza comn,RESIDENTE PERMANENTE (RP)     
Animalia,Asio flammeus,Asio flammeus,Lechuza de sabana,RESIDENTE PERMANENTE (RP)     
Animalia,Athene cunicularia,Athene cunicularia,Cu-c,RESIDENTE PERMANENTE (RP)     
Animalia,Chordeiles minor,Chordeiles minor,Querebebe de Norte America,MIGRATORIA (M)                
Animalia,Chordeiles gundlachii,Chordeiles gundlachii,Querebeb,RESIDENTE PERMANENTE (RP)     
Animalia,Cypseloides niger,Cypseloides niger,Vencejo negro,NO DEFINIDO                   
Animalia,Chaetura pelagica,Chaetura pelagica,Vencejo espinoso,MIGRATORIA (M)                
Animalia,Streptoprocne zonaris,Streptoprocne zonaris,Vencejo de collar,RESIDENTE PERMANENTE (RP)     
Animalia,Tachornis phoenicobia,Tachornis phoenicobia,Vencejito palmar,RESIDENTE PERMANENTE (RP)     
Animalia,Archilochus colubris,Archilochus colubris,Colibr de garganta roja,MIGRATORIA (M)                
Animalia,Anthracothorax dominicus,Anthracothorax dominicus,Zumbador grande,RESIDENTE PERMANENTE (RP)     
Animalia,Megaceryle alcyon,Megaceryle alcyon,Martin Pescador,MIGRATORIA (M)                
Animalia,Sphyrapicus varius,Sphyrapicus varius,Carpintero migratorio,MIGRATORIA (M)                
Animalia,Tyrannus dominicensis,Tyrannus dominicensis,Petigre,RESIDENTE PERMANENTE (RP)     
